t1,t5,t6,dt1,dt2,t2 FAIL,t3,t4 - FAIL,dt3,dt4,dt5,dt6,dt7,dt8,dt9
06:50,06.50.0,06.50.00,05/09/2016 06:50,5/9/16 6:50,06.50,06.50.00,6.50,5/9/16 6:50:00,09/05/16 06:50,9/5/16 6:50:00,2016/09/05 06:50,16-9-5 6:50:0,05.9.16 06:50:00,5/9/16 06.50
06:50,06.50.0,06.50.00,18/08/2016 06:50,18/8/16 6:50,06.50,06.50.00,6.50,18/8/16 6:50:00,08/18/16 06:50,8/18/16 6:50:00,2016/08/18 06:50,16-8-18 6:50:0,18.8.16 06:50:00,18/8/16 06.50
06:51,06.51.0,06.51.00,29/07/2016 06:51,29/7/16 6:51,06.51,06.51.00,6.51,29/7/16 6:51:00,07/29/16 06:51,7/29/16 6:51:00,2016/07/29 06:51,16-7-29 6:51:0,29.7.16 06:51:00,29/7/16 06.51
06:51,06.51.44,06.51.44,11/08/2016 06:51,11/8/16 6:51,06.51,06.51.00,6.51,11/8/16 6:51:00,08/11/16 06:51,8/11/16 6:51:00,2016/08/11 06:51,16-8-11 6:51:0,11.8.16 06:51:00,11/8/16 06.51
06:52,06.52.0,06.52.00,21/09/2016 06:52,21/9/16 6:52,06.52,06.52.00,6.52,21/9/16 6:52:00,09/21/16 06:52,9/21/16 6:52:00,2016/09/21 06:52,16-9-21 6:52:0,21.9.16 06:52:00,21/9/16 06.52
06:52,06.52.0,06.52.00,05/09/2016 06:52,5/9/16 6:52,06.52,06.52.00,6.52,5/9/16 6:52:00,09/05/16 06:52,9/5/16 6:52:00,2016/09/05 06:52,16-9-5 6:52:0,05.9.16 06:52:00,5/9/16 06.52
06:53,06.53.0,06.53.00,14/08/2016 06:53,14/8/16 6:53,06.53,06.53.00,6.53,14/8/16 6:53:00,08/14/16 06:53,8/14/16 6:53:00,2016/08/14 06:53,16-8-14 6:53:0,14.8.16 06:53:00,14/8/16 06.53
06:54,06.54.0,06.54.00,27/08/2016 06:54,27/8/16 6:54,06.54,06.54.00,6.54,27/8/16 6:54:00,08/27/16 06:54,8/27/16 6:54:00,2016/08/27 06:54,16-8-27 6:54:0,27.8.16 06:54:00,27/8/16 06.54
06:54,06.54.0,06.54.00,14/08/2016 06:54,14/8/16 6:54,06.54,06.54.00,6.54,14/8/16 6:54:00,08/14/16 06:54,8/14/16 6:54:00,2016/08/14 06:54,16-8-14 6:54:0,14.8.16 06:54:00,14/8/16 06.54
06:54,06.54.0,06.54.00,08/09/2016 06:54,8/9/16 6:54,06.54,06.54.00,6.54,8/9/16 6:54:00,09/08/16 06:54,9/8/16 6:54:00,2016/09/08 06:54,16-9-8 6:54:0,08.9.16 06:54:00,8/9/16 06.54
06:55,06.56.6,06.56.06,31/08/2016 06:55,31/8/16 6:55,06.55,06.55.00,6.55,31/8/16 6:55:00,08/31/16 06:55,8/31/16 6:55:00,2016/08/31 06:55,16-8-31 6:55:0,31.8.16 06:55:00,31/8/16 06.55
06:55,06.55.0,06.55.00,09/08/2016 06:55,9/8/16 6:55,06.55,06.55.00,6.55,9/8/16 6:55:00,08/09/16 06:55,8/9/16 6:55:00,2016/08/09 06:55,16-8-9 6:55:0,09.8.16 06:55:00,9/8/16 06.55
06:57,06.57.0,06.57.00,03/08/2016 06:57,3/8/16 6:57,06.57,06.57.00,6.57,3/8/16 6:57:00,08/03/16 06:57,8/3/16 6:57:00,2016/08/03 06:57,16-8-3 6:57:0,03.8.16 06:57:00,3/8/16 06.57
06:58,06.58.0,06.58.00,24/07/2016 06:58,24/7/16 6:58,06.58,06.58.00,6.58,24/7/16 6:58:00,07/24/16 06:58,7/24/16 6:58:00,2016/07/24 06:58,16-7-24 6:58:0,24.7.16 06:58:00,24/7/16 06.58
06:59,06.59.0,06.59.00,19/08/2016 06:59,19/8/16 6:59,06.59,06.59.00,6.59,19/8/16 6:59:00,08/19/16 06:59,8/19/16 6:59:00,2016/08/19 06:59,16-8-19 6:59:0,19.8.16 06:59:00,19/8/16 06.59
07:00,07.00.0,07.00.00,14/08/2016 07:00,14/8/16 7:00,07.00,07.00.00,7.00,14/8/16 7:00:00,08/14/16 07:00,8/14/16 7:0:00,2016/08/14 07:00,16-8-14 7:0:0,14.8.16 07:0:00,14/8/16 07.0
07:00,07.00.0,07.00.00,05/09/2016 07:00,5/9/16 7:00,07.00,07.00.00,7.00,5/9/16 7:00:00,09/05/16 07:00,9/5/16 7:0:00,2016/09/05 07:00,16-9-5 7:0:0,05.9.16 07:0:00,5/9/16 07.0
07:00,07.00.0,07.00.00,14/08/2016 07:00,14/8/16 7:00,07.00,07.00.00,7.00,14/8/16 7:00:00,08/14/16 07:00,8/14/16 7:0:00,2016/08/14 07:00,16-8-14 7:0:0,14.8.16 07:0:00,14/8/16 07.0
07:00,07.00.0,07.00.00,19/08/2016 07:00,19/8/16 7:00,07.00,07.00.00,7.00,19/8/16 7:00:00,08/19/16 07:00,8/19/16 7:0:00,2016/08/19 07:00,16-8-19 7:0:0,19.8.16 07:0:00,19/8/16 07.0
07:00,07.00.0,07.00.00,05/09/2016 07:00,5/9/16 7:00,07.00,07.00.00,7.00,5/9/16 7:00:00,09/05/16 07:00,9/5/16 7:0:00,2016/09/05 07:00,16-9-5 7:0:0,05.9.16 07:0:00,5/9/16 07.0
07:01,07.01.0,07.01.00,29/08/2016 07:01,29/8/16 7:01,07.01,07.01.00,7.01,29/8/16 7:01:00,08/29/16 07:01,8/29/16 7:1:00,2016/08/29 07:01,16-8-29 7:1:0,29.8.16 07:1:00,29/8/16 07.1
07:01,07.01.0,07.01.00,05/09/2016 07:01,5/9/16 7:01,07.01,07.01.00,7.01,5/9/16 7:01:00,09/05/16 07:01,9/5/16 7:1:00,2016/09/05 07:01,16-9-5 7:1:0,05.9.16 07:1:00,5/9/16 07.1
07:02,07.02.0,07.02.00,13/07/2016 07:02,13/7/16 7:02,07.02,07.02.00,7.02,13/7/16 7:02:00,07/13/16 07:02,7/13/16 7:2:00,2016/07/13 07:02,16-7-13 7:2:0,13.7.16 07:2:00,13/7/16 07.2
07:02,07.02.0,07.02.00,05/09/2016 07:02,5/9/16 7:02,07.02,07.02.00,7.02,5/9/16 7:02:00,09/05/16 07:02,9/5/16 7:2:00,2016/09/05 07:02,16-9-5 7:2:0,05.9.16 07:2:00,5/9/16 07.2
07:03,07.03.0,07.03.00,12/09/2016 07:03,12/9/16 7:03,07.03,07.03.00,7.03,12/9/16 7:03:00,09/12/16 07:03,9/12/16 7:3:00,2016/09/12 07:03,16-9-12 7:3:0,12.9.16 07:3:00,12/9/16 07.3
07:03,07.03.0,07.03.00,02/09/2016 07:03,2/9/16 7:03,07.03,07.03.00,7.03,2/9/16 7:03:00,09/02/16 07:03,9/2/16 7:3:00,2016/09/02 07:03,16-9-2 7:3:0,02.9.16 07:3:00,2/9/16 07.3
07:03,07.03.0,07.03.00,18/08/2016 07:03,18/8/16 7:03,07.03,07.03.00,7.03,18/8/16 7:03:00,08/18/16 07:03,8/18/16 7:3:00,2016/08/18 07:03,16-8-18 7:3:0,18.8.16 07:3:00,18/8/16 07.3
07:04,07.04.0,07.04.00,08/08/2016 07:04,8/8/16 7:04,07.04,07.04.00,7.04,8/8/16 7:04:00,08/08/16 07:04,8/8/16 7:4:00,2016/08/08 07:04,16-8-8 7:4:0,08.8.16 07:4:00,8/8/16 07.4
07:04,07.04.0,07.04.00,24/07/2016 07:04,24/7/16 7:04,07.04,07.04.00,7.04,24/7/16 7:04:00,07/24/16 07:04,7/24/16 7:4:00,2016/07/24 07:04,16-7-24 7:4:0,24.7.16 07:4:00,24/7/16 07.4
07:04,07.04.0,07.04.00,05/09/2016 07:04,5/9/16 7:04,07.04,07.04.00,7.04,5/9/16 7:04:00,09/05/16 07:04,9/5/16 7:4:00,2016/09/05 07:04,16-9-5 7:4:0,05.9.16 07:4:00,5/9/16 07.4
07:05,07.05.0,07.05.00,04/09/2016 07:05,4/9/16 7:05,07.05,07.05.00,7.05,4/9/16 7:05:00,09/04/16 07:05,9/4/16 7:5:00,2016/09/04 07:05,16-9-4 7:5:0,04.9.16 07:5:00,4/9/16 07.5
07:06,07.06.0,07.06.00,04/09/2016 07:06,4/9/16 7:06,07.06,07.06.00,7.06,4/9/16 7:06:00,09/04/16 07:06,9/4/16 7:6:00,2016/09/04 07:06,16-9-4 7:6:0,04.9.16 07:6:00,4/9/16 07.6
07:06,07.06.0,07.06.00,10/08/2016 07:06,10/8/16 7:06,07.06,07.06.00,7.06,10/8/16 7:06:00,08/10/16 07:06,8/10/16 7:6:00,2016/08/10 07:06,16-8-10 7:6:0,10.8.16 07:6:00,10/8/16 07.6
07:06,07.06.0,07.06.00,19/08/2016 07:06,19/8/16 7:06,07.06,07.06.00,7.06,19/8/16 7:06:00,08/19/16 07:06,8/19/16 7:6:00,2016/08/19 07:06,16-8-19 7:6:0,19.8.16 07:6:00,19/8/16 07.6
07:06,07.06.0,07.06.00,23/08/2016 07:06,23/8/16 7:06,07.06,07.06.00,7.06,23/8/16 7:06:00,08/23/16 07:06,8/23/16 7:6:00,2016/08/23 07:06,16-8-23 7:6:0,23.8.16 07:6:00,23/8/16 07.6
07:06,07.06.0,07.06.00,05/09/2016 07:06,5/9/16 7:06,07.06,07.06.00,7.06,5/9/16 7:06:00,09/05/16 07:06,9/5/16 7:6:00,2016/09/05 07:06,16-9-5 7:6:0,05.9.16 07:6:00,5/9/16 07.6
07:07,07.07.0,07.07.00,14/09/2016 07:07,14/9/16 7:07,07.07,07.07.00,7.07,14/9/16 7:07:00,09/14/16 07:07,9/14/16 7:7:00,2016/09/14 07:07,16-9-14 7:7:0,14.9.16 07:7:00,14/9/16 07.7
07:09,07.09.0,07.09.00,22/08/2016 07:09,22/8/16 7:09,07.09,07.09.00,7.09,22/8/16 7:09:00,08/22/16 07:09,8/22/16 7:9:00,2016/08/22 07:09,16-8-22 7:9:0,22.8.16 07:9:00,22/8/16 07.9
07:09,07.09.0,07.09.00,24/07/2016 07:09,24/7/16 7:09,07.09,07.09.00,7.09,24/7/16 7:09:00,07/24/16 07:09,7/24/16 7:9:00,2016/07/24 07:09,16-7-24 7:9:0,24.7.16 07:9:00,24/7/16 07.9
07:11,07.11.0,07.11.00,02/08/2016 07:11,2/8/16 7:11,07.11,07.11.00,7.11,2/8/16 7:11:00,08/02/16 07:11,8/2/16 7:11:00,2016/08/02 07:11,16-8-2 7:11:0,02.8.16 07:11:00,2/8/16 07.11
07:12,07.12.0,07.12.00,09/09/2016 07:12,9/9/16 7:12,07.12,07.12.00,7.12,9/9/16 7:12:00,09/09/16 07:12,9/9/16 7:12:00,2016/09/09 07:12,16-9-9 7:12:0,09.9.16 07:12:00,9/9/16 07.12
07:13,07.13.0,07.13.00,01/09/2016 07:13,1/9/16 7:13,07.13,07.13.00,7.13,1/9/16 7:13:00,09/01/16 07:13,9/1/16 7:13:00,2016/09/01 07:13,16-9-1 7:13:0,01.9.16 07:13:00,1/9/16 07.13
07:13,07.13.0,07.13.00,14/09/2016 07:13,14/9/16 7:13,07.13,07.13.00,7.13,14/9/16 7:13:00,09/14/16 07:13,9/14/16 7:13:00,2016/09/14 07:13,16-9-14 7:13:0,14.9.16 07:13:00,14/9/16 07.13
07:14,07.14.0,07.14.00,05/08/2016 07:14,5/8/16 7:14,07.14,07.14.00,7.14,5/8/16 7:14:00,08/05/16 07:14,8/5/16 7:14:00,2016/08/05 07:14,16-8-5 7:14:0,05.8.16 07:14:00,5/8/16 07.14
07:15,07.15.0,07.15.00,10/09/2016 07:15,10/9/16 7:15,07.15,07.15.00,7.15,10/9/16 7:15:00,09/10/16 07:15,9/10/16 7:15:00,2016/09/10 07:15,16-9-10 7:15:0,10.9.16 07:15:00,10/9/16 07.15
07:15,07.15.0,07.15.00,08/09/2016 07:15,8/9/16 7:15,07.15,07.15.00,7.15,8/9/16 7:15:00,09/08/16 07:15,9/8/16 7:15:00,2016/09/08 07:15,16-9-8 7:15:0,08.9.16 07:15:00,8/9/16 07.15
07:15,07.15.0,07.15.00,21/09/2016 07:15,21/9/16 7:15,07.15,07.15.00,7.15,21/9/16 7:15:00,09/21/16 07:15,9/21/16 7:15:00,2016/09/21 07:15,16-9-21 7:15:0,21.9.16 07:15:00,21/9/16 07.15
07:16,07.16.0,07.16.00,21/09/2016 07:16,21/9/16 7:16,07.16,07.16.00,7.16,21/9/16 7:16:00,09/21/16 07:16,9/21/16 7:16:00,2016/09/21 07:16,16-9-21 7:16:0,21.9.16 07:16:00,21/9/16 07.16
07:17,07.17.0,07.17.00,21/09/2016 07:17,21/9/16 7:17,07.17,07.17.00,7.17,21/9/16 7:17:00,09/21/16 07:17,9/21/16 7:17:00,2016/09/21 07:17,16-9-21 7:17:0,21.9.16 07:17:00,21/9/16 07.17
07:18,07.18.0,07.18.00,17/09/2016 07:18,17/9/16 7:18,07.18,07.18.00,7.18,17/9/16 7:18:00,09/17/16 07:18,9/17/16 7:18:00,2016/09/17 07:18,16-9-17 7:18:0,17.9.16 07:18:00,17/9/16 07.18
07:18,07.18.0,07.18.00,26/08/2016 07:18,26/8/16 7:18,07.18,07.18.00,7.18,26/8/16 7:18:00,08/26/16 07:18,8/26/16 7:18:00,2016/08/26 07:18,16-8-26 7:18:0,26.8.16 07:18:00,26/8/16 07.18
07:18,07.18.0,07.18.00,21/08/2016 07:18,21/8/16 7:18,07.18,07.18.00,7.18,21/8/16 7:18:00,08/21/16 07:18,8/21/16 7:18:00,2016/08/21 07:18,16-8-21 7:18:0,21.8.16 07:18:00,21/8/16 07.18
07:18,07.18.0,07.18.00,19/09/2016 07:18,19/9/16 7:18,07.18,07.18.00,7.18,19/9/16 7:18:00,09/19/16 07:18,9/19/16 7:18:00,2016/09/19 07:18,16-9-19 7:18:0,19.9.16 07:18:00,19/9/16 07.18
07:19,07.19.0,07.19.00,17/08/2016 07:19,17/8/16 7:19,07.19,07.19.00,7.19,17/8/16 7:19:00,08/17/16 07:19,8/17/16 7:19:00,2016/08/17 07:19,16-8-17 7:19:0,17.8.16 07:19:00,17/8/16 07.19
07:19,07.19.0,07.19.00,21/08/2016 07:19,21/8/16 7:19,07.19,07.19.00,7.19,21/8/16 7:19:00,08/21/16 07:19,8/21/16 7:19:00,2016/08/21 07:19,16-8-21 7:19:0,21.8.16 07:19:00,21/8/16 07.19
07:19,07.19.0,07.19.00,29/08/2016 07:19,29/8/16 7:19,07.19,07.19.00,7.19,29/8/16 7:19:00,08/29/16 07:19,8/29/16 7:19:00,2016/08/29 07:19,16-8-29 7:19:0,29.8.16 07:19:00,29/8/16 07.19
07:20,07.20.0,07.20.00,05/09/2016 07:20,5/9/16 7:20,07.20,07.20.00,7.20,5/9/16 7:20:00,09/05/16 07:20,9/5/16 7:20:00,2016/09/05 07:20,16-9-5 7:20:0,05.9.16 07:20:00,5/9/16 07.20
07:21,07.21.0,07.21.00,23/08/2016 07:21,23/8/16 7:21,07.21,07.21.00,7.21,23/8/16 7:21:00,08/23/16 07:21,8/23/16 7:21:00,2016/08/23 07:21,16-8-23 7:21:0,23.8.16 07:21:00,23/8/16 07.21
07:22,07.22.0,07.22.00,23/08/2016 07:22,23/8/16 7:22,07.22,07.22.00,7.22,23/8/16 7:22:00,08/23/16 07:22,8/23/16 7:22:00,2016/08/23 07:22,16-8-23 7:22:0,23.8.16 07:22:00,23/8/16 07.22
07:22,07.22.0,07.22.00,21/08/2016 07:22,21/8/16 7:22,07.22,07.22.00,7.22,21/8/16 7:22:00,08/21/16 07:22,8/21/16 7:22:00,2016/08/21 07:22,16-8-21 7:22:0,21.8.16 07:22:00,21/8/16 07.22
07:23,07.23.0,07.23.00,13/09/2016 07:23,13/9/16 7:23,07.23,07.23.00,7.23,13/9/16 7:23:00,09/13/16 07:23,9/13/16 7:23:00,2016/09/13 07:23,16-9-13 7:23:0,13.9.16 07:23:00,13/9/16 07.23
07:24,07.24.0,07.24.00,28/08/2016 07:24,28/8/16 7:24,07.24,07.24.00,7.24,28/8/16 7:24:00,08/28/16 07:24,8/28/16 7:24:00,2016/08/28 07:24,16-8-28 7:24:0,28.8.16 07:24:00,28/8/16 07.24
07:25,07.25.0,07.25.00,21/08/2016 07:25,21/8/16 7:25,07.25,07.25.00,7.25,21/8/16 7:25:00,08/21/16 07:25,8/21/16 7:25:00,2016/08/21 07:25,16-8-21 7:25:0,21.8.16 07:25:00,21/8/16 07.25
07:26,07.26.0,07.26.00,15/08/2016 07:26,15/8/16 7:26,07.26,07.26.00,7.26,15/8/16 7:26:00,08/15/16 07:26,8/15/16 7:26:00,2016/08/15 07:26,16-8-15 7:26:0,15.8.16 07:26:00,15/8/16 07.26
07:26,07.26.0,07.26.00,17/08/2016 07:26,17/8/16 7:26,07.26,07.26.00,7.26,17/8/16 7:26:00,08/17/16 07:26,8/17/16 7:26:00,2016/08/17 07:26,16-8-17 7:26:0,17.8.16 07:26:00,17/8/16 07.26
07:26,07.26.0,07.26.00,16/09/2016 07:26,16/9/16 7:26,07.26,07.26.00,7.26,16/9/16 7:26:00,09/16/16 07:26,9/16/16 7:26:00,2016/09/16 07:26,16-9-16 7:26:0,16.9.16 07:26:00,16/9/16 07.26
